feature	experiment 1	experiment 2	experiment 3	experiment 4	experiment 5	experiment 6	experiment 7	experiment 8	experiment 9	experiment 10	experiment 11	experiment 12	experiment 13	experiment 14	experiment 15	experiment 16	experiment 17	experiment 18	experiment 19	experiment 20	experiment 21	experiment 22	experiment 23
OR5T3	-0.906	0.238	-0.778	0.488	-0.464	0.513	-0.090	-0.346	1.476	4.149	0.315	0.675	-0.166	1.137	0.182	0.665	0.531	0.174	0.620	0.092	0.304	0.518	0.018
TBCC	0.414	0.909	0.388	-0.052	-0.078	0.661	0.857	0.712	-0.362	0.265	0.800	0.505	-0.174	-0.404	0.246	0.053	0.217	-0.351	0.650	0.081	-0.066	0.311	0.112
TMEM1	-0.540	-0.447	-0.040	-0.000	0.310	-0.187	0.119	0.573	-0.851	0.256	-0.112	-0.596	-0.102	0.430	0.181	-0.099	0.550	-0.132	-0.014	0.102	0.222	-0.061	0.202
MYCN	-0.803	-0.878	-0.658	-1.013	-1.417	-0.196	-0.800	-1.393	-1.575	-0.383	-0.537	-0.203	-1.107	-0.909	-1.121	-0.914	-1.508	-0.683	-0.139	-0.657	-1.141	-1.209	-1.419
PRKACG	-0.137	-0.309	0.104	-0.088	0.126	-0.273	-0.179	0.335	-0.034	-0.226	-0.003	0.025	0.374	0.331	-0.083	0.025	-0.039	0.240	-0.045	0.271	0.262	0.050	0.162
KCNK3	1.865	2.174	0.687	1.195	0.239	1.893	2.678	2.389	3.467	2.526	3.565	0.278	3.869	0.172	2.227	2.787	2.382	2.544	3.092	0.743	1.303	2.682	3.544
FLJ11171	0.419	0.596	0.396	-0.452	0.425	0.757	0.680	0.205	-0.516	-0.026	0.830	1.046	0.767	0.212	1.039	0.096	0.308	-1.411	0.434	0.013	-0.070	0.513	0.317
SYNGR2	1.258	1.598	1.092	0.610	-0.360	0.566	0.614	0.471	-0.088	0.570	1.001	1.345	0.893	-0.095	-0.301	1.087	1.176	0.429	0.453	1.030	0.821	0.876	0.810
LYST	0.557	0.180	0.422	1.149	-0.354	0.030	0.201	1.402	0.399	0.838	0.583	-0.761	0.103	0.287	0.698	0.625	1.992	-0.770	0.538	0.648	0.813	0.366	0.571
MPDZ	0.023	0.056	0.147	-0.222	0.842	-0.469	-0.260	0.017	0.045	-0.688	-0.748	-0.271	-0.793	-0.272	1.262	0.248	-0.461	-0.657	0.766	0.564	0.307	0.661	0.586
ZNF557	1.094	0.950	0.633	0.722	0.553	0.763	0.729	0.668	0.312	0.347	0.430	0.163	-0.185	0.386	0.330	-0.206	0.243	-0.585	0.061	0.302	0.138	0.949	0.140
UCN3	0.169	-0.041	-0.011	-0.043	-0.132	0.567	0.701	-0.176	0.026	0.408	0.097	0.325	-0.478	-0.749	-0.499	0.418	1.485	1.833	0.147	-0.086	0.864	0.655	0.104
RPH3AL	1.829	1.361	2.829	2.128	2.918	1.297	2.287	1.543	1.651	1.207	1.400	1.677	1.134	2.304	2.390	1.794	0.446	2.554	1.352	2.284	1.643	1.559	2.034
TRIAP1	-0.194	-0.041	-0.750	-0.034	-0.521	0.147	0.082	-0.042	-0.265	-0.511	0.215	0.639	-0.056	-0.172	-0.013	-0.490	-0.589	-1.134	-0.172	-0.690	-0.559	-0.045	-0.557
TPBG	-0.748	-1.103	-1.508	-1.154	-1.502	-0.838	-3.023	0.290	-1.958	-3.006	-1.490	-0.875	-3.013	-1.805	-1.338	-1.115	-0.833	-1.568	-2.700	-0.940	-1.345	-1.659	-1.307
VKORC1	0.446	-0.106	0.103	-0.326	-0.734	0.243	-0.119	-0.433	0.896	0.766	0.053	0.030	0.275	0.079	0.099	0.416	0.208	0.664	0.102	-0.057	-0.103	0.640	0.478
NDUFB1	0.896	0.786	0.556	0.422	0.694	1.320	0.935	0.951	0.293	0.904	1.048	0.810	1.303	0.789	0.332	0.027	-1.451	0.068	0.770	0.230	0.591	0.910	0.301
MND1	-4.557	-3.876	-4.456	-2.749	-4.722	-4.259	-3.889	-4.518	-3.976	-4.264	-3.979	-3.986	-4.635	-3.538	-4.218	-3.971	-4.034	-3.789	-3.869	-3.696	-3.476	-4.938	-4.677
FER1L3	-0.066	0.361	0.246	1.995	1.365	0.701	0.047	1.242	1.416	0.893	0.396	0.098	0.380	0.530	1.042	1.419	2.025	1.137	-0.250	0.224	1.399	0.813	0.815
GABRA3	-0.125	0.641	-0.017	-0.425	-0.877	-1.184	-0.200	-0.410	-0.228	-0.399	-0.239	-0.501	-0.800	0.082	-0.877	-0.150	0.173	0.398	-0.362	-0.170	-0.091	0.017	-0.172
UNQ5830	0.271	0.147	0.198	0.488	-0.047	-1.295	-1.236	-1.565	-0.194	-1.817	-0.254	-0.003	-1.105	NA	0.227	0.190	-1.344	1.030	0.389	-0.638	0.086	0.060	0.053
GGA1	-0.479	-0.336	-0.332	0.053	-0.439	-0.990	-0.984	0.566	-0.784	-0.055	-0.737	-1.002	-0.318	-0.110	-0.647	0.023	0.249	0.536	-1.092	-0.384	-0.532	-0.873	-0.650
CNTNAP1	-1.030	-1.497	-1.390	-0.542	-2.097	-1.916	-1.882	-1.599	-1.375	-0.759	-1.175	-0.843	-2.069	-0.984	-1.690	-0.912	-1.847	-0.503	-1.872	-1.503	-1.432	-1.930	-0.670
YRDC	-1.413	-0.118	-0.875	-0.746	-1.406	-0.459	-0.236	-0.724	-0.821	-0.806	-0.036	-0.805	-0.524	-0.883	-0.749	-0.880	-0.528	-1.062	-0.804	-1.077	-0.844	-0.344	-0.812
KLK6	-0.984	-1.970	-2.588	-1.997	-1.855	-2.221	-2.900	-2.927	-2.783	-2.591	-1.788	-1.590	-2.617	-1.752	-2.824	-2.382	-3.136	-2.247	-2.759	-2.335	-2.923	-2.821	-3.019
SUSD3	0.313	1.776	1.524	0.253	2.356	-0.791	1.949	1.756	-0.374	1.274	-0.150	0.757	-0.273	1.570	0.943	-0.694	0.974	-0.804	-0.141	1.121	1.639	1.024	0.276
BCL2L13	0.271	0.020	-0.198	-0.316	0.733	0.194	0.299	-0.317	-0.520	-0.141	0.105	0.451	0.208	-0.201	-0.030	0.075	0.149	0.302	0.071	0.161	0.424	-0.160	0.258
TBX5	-0.694	-0.605	0.090	-0.003	0.585	0.100	0.510	0.227	1.474	-0.086	0.248	0.176	-0.513	3.784	1.773	-0.305	0.478	0.018	0.756	-1.055	0.480	0.167	0.401
P4HA3	-0.337	0.847	0.273	1.754	1.349	1.322	1.419	0.351	3.319	1.934	-0.513	1.308	1.238	2.828	2.225	1.872	1.409	0.981	3.014	2.636	1.844	2.611	1.552
CGB1	3.021	2.006	0.325	-0.152	0.132	1.560	1.260	0.029	3.269	0.950	1.516	0.697	2.600	0.218	0.131	0.807	1.000	4.078	1.904	-0.346	0.770	0.895	0.501
FNDC5	-1.136	-0.641	-1.585	-1.088	1.146	-1.460	-1.446	-1.778	0.059	-1.062	-0.949	-0.787	-1.634	-0.659	-1.000	-1.137	-1.486	-1.033	-0.773	-1.357	-1.688	-1.079	-1.464
RPS21	-0.255	-0.234	-0.905	-0.231	-1.133	0.026	0.294	-0.674	-0.016	-0.372	-0.661	0.216	-0.087	-0.356	-0.644	-1.125	-1.522	-1.532	-0.313	-0.732	-0.699	-0.606	-0.967
C1orf63	0.273	0.592	0.349	0.634	-1.461	0.592	-0.167	0.399	-0.604	-0.203	-1.668	-1.402	-1.165	-0.355	-0.044	0.329	1.019	0.814	-1.050	-0.662	-0.041	-1.369	-0.285
ZNF534	-0.586	-1.079	-0.900	-0.398	-0.883	-0.469	-0.328	-0.867	-1.665	-1.000	-1.035	-0.548	-0.936	-0.511	-0.653	-0.764	-1.498	-0.616	-0.899	-0.706	-0.639	-0.953	-0.845
TEGT	0.781	0.677	0.986	0.100	1.084	1.160	0.931	0.742	0.558	0.866	1.251	1.005	1.298	0.881	0.782	1.156	0.917	0.796	1.041	0.848	1.057	1.207	0.824
IL28RA	0.084	-0.125	0.291	-0.486	-0.110	-0.140	0.094	0.550	0.981	0.420	0.368	-0.161	0.821	0.842	0.697	0.299	-0.073	-0.127	0.499	0.350	-0.120	0.297	0.611
RPAP3	-1.439	-2.039	-1.887	-1.341	-0.653	-1.733	-1.690	-1.848	-1.340	-1.760	-1.486	-1.134	-1.702	-1.955	-1.069	-1.468	-0.739	-1.970	-1.319	-1.103	-1.250	-1.296	-1.716
MORC1	-0.004	-0.459	-0.990	-1.022	-0.747	-0.029	-0.439	-0.908	-1.050	-1.224	-0.710	-0.306	-1.152	-2.450	-1.194	-1.343	-1.062	-0.309	-0.826	-0.637	-0.798	-0.683	-0.474
PPM1G	-1.845	-1.404	-1.212	-1.272	-0.783	-1.597	-1.898	-1.393	-0.670	-1.254	-0.888	-1.579	-1.029	-0.980	-1.056	-0.348	0.034	-0.474	-0.638	-0.111	-0.828	-0.752	-0.637
KCNK1	-0.523	0.045	0.046	1.422	-2.967	0.152	0.894	1.552	1.646	1.566	-0.134	0.924	2.215	1.465	1.262	0.178	1.608	-0.170	0.209	1.115	0.775	0.783	1.726
C6orf201	0.504	-0.136	0.156	-0.137	-0.199	0.355	0.685	-0.423	0.096	-1.506	0.189	-0.003	-0.292	-0.790	0.695	-0.527	0.373	1.061	-1.473	-0.031	0.253	0.572	-0.330
TNMD	-1.887	0.758	1.527	-2.102	1.169	1.101	0.664	-2.439	-2.594	2.787	-1.231	-0.841	-2.014	-1.108	-0.113	-1.786	-2.512	3.189	1.302	-1.376	2.039	1.103	-0.834
ARL5A	0.740	0.882	0.886	0.658	1.419	1.047	1.309	0.605	1.047	1.693	1.451	1.957	0.991	0.553	1.224	0.461	0.647	-1.013	0.803	0.516	0.727	0.819	0.518
MPZL1	1.117	0.243	0.225	0.412	-1.016	-0.200	-0.039	-0.423	0.469	0.398	0.122	1.467	-0.074	0.417	0.423	-0.186	1.184	-0.559	0.071	0.635	1.173	0.319	0.028
ZNF770	0.032	0.235	-0.222	-0.626	0.795	0.564	0.477	0.252	-0.187	0.524	0.185	0.468	0.482	-0.306	0.806	-0.085	-0.490	-0.572	0.413	0.052	0.213	0.540	0.441
DRD2	0.244	-0.125	0.332	0.019	0.022	0.086	0.119	0.233	0.018	-0.457	0.068	-0.049	-0.335	-0.425	-0.195	-0.418	0.547	0.839	-0.480	-0.448	0.551	0.178	0.229
PDLIM1	0.131	1.142	0.995	1.380	0.014	1.737	0.874	0.768	1.510	0.980	1.186	1.302	1.025	1.342	0.783	1.015	0.095	0.771	1.022	1.063	1.082	1.000	1.174
ATP5G2	0.616	0.389	0.448	0.686	0.355	-0.060	0.097	-0.585	-0.154	0.140	0.171	0.661	0.417	-0.119	0.201	0.467	-0.396	0.352	0.513	0.161	0.034	-0.167	0.037
IMPDH2	-1.467	-1.323	-1.892	-1.396	-1.314	-1.922	-1.916	-2.536	-1.238	-2.192	-2.226	-1.888	-2.032	-2.707	-1.609	-2.002	-2.014	-1.945	-1.649	-2.198	-2.262	-1.969	-2.039
SIPA1L3	0.538	0.943	0.192	0.832	0.727	1.831	1.475	1.097	0.881	1.780	0.572	1.306	1.496	1.796	0.708	0.316	0.312	1.809	0.075	0.787	0.961	1.197	1.068
SGOL2	-2.537	-2.163	-2.463	-1.768	-3.167	-3.003	-2.002	-2.731	-2.743	-2.445	-1.715	-2.285	-2.782	-2.010	-2.472	-2.494	-1.732	-2.729	-2.441	-2.273	-2.993	-3.251	-2.748
LPHN1	-1.325	-1.955	-1.716	-1.348	-0.750	-2.245	-2.327	-2.073	-1.195	-1.702	-1.704	-1.484	-2.100	-1.438	-1.422	-1.076	-0.851	-0.700	-1.609	-1.439	-1.272	-2.042	-1.838
SNAP91	0.287	0.238	0.256	0.021	-0.118	0.210	-0.111	-0.252	0.035	-0.185	0.542	0.693	-0.040	0.801	0.205	-0.251	0.389	0.046	0.349	-0.076	-0.126	-0.177	0.157
TBC1D3P2	-0.823	-0.946	-0.411	-0.353	-1.891	-1.161	-1.397	-0.160	-1.284	-0.503	-1.702	-1.407	-1.090	-0.065	-0.918	0.711	0.459	1.059	-1.204	-0.487	-0.395	-1.797	-0.945
CAPSL	1.040	0.143	1.453	-0.349	0.436	-0.108	0.537	0.093	0.019	0.118	1.198	1.480	0.500	-0.274	0.417	1.406	-0.087	0.535	0.973	2.715	1.118	0.579	4.170
DAOA	-0.281	-0.011	-0.624	0.464	-0.515	0.009	-0.144	-1.013	-0.347	0.540	0.521	0.702	-0.484	0.780	-0.537	-0.382	0.974	0.515	0.631	-0.997	-0.283	1.859	-0.754
KNG1	-1.741	-1.895	-2.012	-1.665	-1.633	-1.317	-1.434	-2.510	-2.591	-1.490	-1.620	-1.793	-1.339	-1.435	-1.849	-1.777	-2.589	-2.059	-1.781	-1.929	-1.266	-2.235	-1.800
SOX7	0.070	1.601	1.578	1.166	0.704	1.013	1.041	0.496	1.508	1.308	1.846	0.786	1.331	1.182	2.035	1.636	0.967	0.531	2.305	1.915	0.699	1.549	1.466
SYDE1	-0.648	0.150	0.040	-0.039	-0.815	-0.567	-0.450	-0.397	-0.209	-0.587	-0.231	0.060	-0.258	-0.616	-0.535	-0.530	-0.197	-0.051	-0.510	-0.276	-1.014	-0.265	-0.636
CBX8	-0.013	-0.104	-0.079	-0.411	-0.920	-1.006	-0.842	-1.613	-1.304	-0.408	-1.201	-0.661	-0.559	-0.579	-0.598	-0.458	-0.549	-0.231	-0.588	-0.215	-0.697	-1.057	-0.736
NUP37	-0.824	-1.133	-1.621	-1.228	-0.491	-1.312	-1.127	-1.775	-1.512	-1.804	-1.365	-0.601	-1.920	-2.168	-1.267	-1.647	-1.814	-2.575	-1.540	-1.978	-1.686	-1.727	-1.792
LINGO4	0.556	0.166	0.846	0.524	0.283	0.040	0.147	-0.172	-0.093	0.577	0.666	0.750	-0.029	0.728	-0.357	0.108	0.032	0.079	0.326	0.877	0.102	0.572	0.183
POLR3H	-0.773	-0.298	0.197	-0.670	-0.630	-0.467	-0.590	-1.052	-0.104	-0.030	-0.272	-0.039	-0.196	-0.001	-0.511	-0.147	-0.163	0.198	0.496	0.027	-0.217	0.156	0.156
PPP2CA	-0.311	0.330	-0.005	-0.598	0.699	-0.325	-0.286	-0.302	-0.584	-0.422	0.377	-0.278	-0.012	-0.546	0.051	-0.188	0.324	-0.580	0.323	-0.398	-0.092	-0.023	0.225
ZEB1	0.117	1.117	0.915	0.703	1.116	1.027	1.111	1.705	2.066	0.546	1.490	0.697	0.495	0.999	1.520	1.259	1.034	0.989	1.292	1.081	0.709	1.264	0.180
KCTD7	0.748	0.079	-0.035	0.270	-0.245	-0.054	-0.209	0.361	0.409	0.378	0.454	0.167	0.131	-1.033	0.277	0.190	0.132	0.167	0.203	0.059	0.091	-0.008	0.215
HIST3H3	-0.563	-0.429	-0.442	-0.132	-1.222	-0.174	-0.392	-0.400	-0.219	-0.175	-0.493	-0.463	-0.197	-0.298	-0.096	-0.289	-0.172	-0.318	-0.397	0.004	-0.074	0.042	-0.086
DCLK2	-0.607	0.160	0.382	0.508	0.438	0.372	-0.023	0.490	0.094	-0.404	-0.411	-0.880	0.298	-0.502	0.624	-0.050	0.144	0.738	0.192	-0.244	-0.624	0.625	0.012
C10orf6	0.212	-0.283	-0.051	0.288	-1.075	0.189	-0.136	0.307	-0.232	-0.303	-0.570	-0.173	-0.884	-0.461	0.230	-0.165	-0.190	-0.647	-0.099	0.108	-0.470	-0.373	-0.248
HSD17B2	-1.902	-0.779	-0.782	-2.514	0.572	-0.404	0.232	-1.772	-2.307	-0.119	-0.414	-1.039	-1.146	-0.719	-3.378	-2.437	-2.810	-1.128	1.157	-2.189	-1.939	-1.717	0.102
ALOXE3	0.206	-0.275	0.070	-0.195	-0.623	0.212	-0.098	-0.025	0.122	0.112	0.040	-0.024	-0.307	-0.347	-0.138	-0.257	0.965	1.163	-0.614	-0.218	0.077	-0.401	0.264
SLC35D2	0.978	1.268	0.713	0.099	-0.323	1.175	1.844	0.836	-0.614	0.098	1.026	0.546	0.591	-0.455	0.579	0.257	1.002	0.236	0.829	0.666	0.809	0.486	0.687
ANP32D	-3.470	-1.966	-3.417	-2.728	-2.326	-1.551	-1.418	-1.973	-1.375	-2.471	-1.744	-2.392	-1.591	-3.099	-1.371	-2.530	-1.116	-0.910	-1.599	-2.282	-1.645	-1.890	-1.310
DPP10	0.399	-0.476	-0.670	-0.438	2.156	-0.556	0.001	-0.776	-0.865	-0.982	-0.504	0.904	-0.288	-0.499	-0.570	-0.774	-0.575	-0.364	-0.618	-0.763	-0.732	-0.825	-0.689
KRT74	0.270	0.159	0.392	0.455	0.472	1.386	0.102	0.257	0.699	-0.066	0.776	0.710	0.695	-0.501	0.894	0.273	0.427	0.296	1.064	1.005	0.660	0.879	0.336
FZD8	0.439	-0.778	-0.172	1.740	-1.137	-0.005	-0.174	0.629	-0.689	-0.904	0.385	0.321	-0.456	-0.496	0.814	0.209	0.697	0.480	0.204	0.337	-0.154	0.850	0.464
MAPK11	-0.330	0.137	-0.181	0.798	-0.637	0.058	0.754	0.894	0.526	0.435	0.566	0.677	1.225	0.776	0.125	0.022	-0.406	0.235	-0.126	-0.228	-0.027	0.105	0.296
RAF1	-0.555	-0.186	-0.432	0.186	-0.535	-0.857	-0.940	-0.586	-0.880	-0.715	-0.543	-0.757	-0.386	-0.430	-0.688	-0.388	0.142	-0.448	-0.712	-0.520	-0.717	-0.841	-0.401
RP11-529I10.4	2.080	1.425	1.845	0.715	0.341	0.765	1.352	0.328	1.541	1.018	1.441	2.561	0.243	1.032	1.254	0.938	0.354	1.761	1.568	0.847	0.986	0.737	1.155
ZNF575	1.966	1.172	1.484	1.703	0.839	1.324	0.977	1.085	0.811	1.757	2.086	2.163	1.681	2.180	-1.111	1.112	0.154	1.717	1.479	1.151	1.097	0.967	-0.085
SCGB3A2	-1.642	-1.942	-1.960	-1.575	-2.233	-2.060	-2.178	-2.027	-1.665	-1.849	-1.817	-1.634	-2.212	-1.013	-2.400	-1.867	-2.085	-1.272	-1.346	-1.837	-2.092	-2.308	-2.190
FGFRL1	-0.215	-1.098	-0.657	-0.602	-0.232	-1.704	-1.570	-1.508	-0.996	-0.993	-0.782	-0.849	-1.495	-0.680	-0.483	-0.364	-0.542	-0.356	-0.605	-0.921	-0.284	-0.765	-0.305
C1orf165	-0.406	1.811	1.906	-0.102	0.321	1.661	2.550	1.784	2.416	1.797	1.296	1.538	1.433	2.538	1.730	0.021	0.782	1.891	1.609	1.145	1.736	1.881	1.572
DCTN6	0.864	0.756	0.707	-0.229	0.227	0.087	1.075	-0.414	0.365	0.403	0.362	0.571	0.031	-0.518	0.750	-0.355	-0.420	-0.462	0.406	-0.289	0.045	-0.129	0.066
TSSC1	-0.562	-0.223	-0.176	-0.297	-0.449	-0.482	-0.073	-0.874	-1.107	-0.531	-0.003	-0.478	-0.266	-0.612	-0.977	-0.353	0.183	0.048	-0.615	-0.037	-0.210	-0.498	0.202
GNPTG	1.791	1.680	1.759	1.104	1.274	1.337	1.289	0.797	1.176	1.690	1.582	1.418	1.604	1.418	1.012	1.958	1.129	2.176	1.262	1.565	1.493	1.355	1.937
LRRC43	3.336	-0.380	1.478	4.782	-0.406	4.038	4.782	0.458	1.206	5.347	3.503	0.956	4.306	3.498	0.977	2.322	0.412	2.420	2.707	1.388	1.786	2.567	3.603
RBP4	-2.932	-3.593	3.756	-2.700	-4.197	-1.039	-3.417	-4.261	-3.096	0.316	-2.692	0.097	-3.566	1.014	-3.242	-1.260	-2.305	-1.860	-3.303	3.118	1.312	-3.658	0.509
IKBKB	-0.262	-0.059	-0.052	0.338	-0.336	-0.301	-0.500	-0.229	-0.552	-0.313	-0.531	-0.246	-0.357	-0.045	-0.210	0.336	0.775	0.334	-0.391	-0.273	-0.011	-0.625	-0.197
FANCL	-2.055	-1.229	-1.592	-0.419	-1.344	-0.868	-1.113	-0.420	-0.113	-0.898	-1.544	-1.127	-0.891	-1.359	-0.948	-1.250	-1.071	-1.296	-1.320	-1.181	-1.274	-0.940	-1.263
LRDD	-1.182	-1.036	-0.770	0.388	-1.870	-1.726	-2.007	-1.095	-1.429	-0.799	-1.586	-1.069	-1.017	-0.325	-1.795	-0.448	-0.531	-0.063	-1.778	-0.969	-1.341	-2.079	-1.077
MDM1	0.264	-0.044	0.048	-0.621	0.673	0.534	0.185	0.297	-0.647	0.543	0.049	0.073	0.136	-0.125	0.448	-0.375	-0.436	-0.380	-0.068	0.265	-0.125	0.421	-0.029
DNER	-2.702	-3.873	-3.445	-0.503	-3.209	-4.161	-3.778	-4.237	-3.914	-2.150	-3.508	-3.084	-4.599	-1.005	-5.015	-3.218	-2.246	-2.795	-4.306	-3.188	-0.267	-4.728	-4.342
ZNF440	0.443	0.906	0.198	0.506	-0.082	0.533	0.977	0.819	-0.443	-0.187	0.087	-0.205	0.387	-0.161	0.274	-0.218	0.571	-0.024	-0.333	-0.272	-0.451	-0.270	0.251
OR1A2	0.266	0.607	0.469	0.054	-0.129	0.707	0.193	0.504	0.598	0.470	0.218	0.222	0.174	-0.222	0.481	0.298	0.537	0.818	0.052	0.513	0.351	0.382	0.575
VILL	-1.033	1.044	1.194	0.959	0.412	-1.055	-0.080	-0.019	0.461	0.583	0.127	0.029	-0.300	0.638	-0.540	0.417	1.438	0.487	-0.002	0.776	0.055	0.383	-0.130
CGN	-2.399	-0.281	0.064	-2.424	-0.665	-1.228	-0.405	-0.386	0.324	-1.201	-0.029	-1.190	-0.419	0.440	-0.222	0.991	-0.974	1.880	0.152	1.896	1.330	-0.825	1.208
HIST1H2BF	-2.066	0.692	-0.596	-0.476	-2.687	0.775	0.072	0.265	-0.179	0.387	-0.195	0.282	-0.948	-0.416	0.764	-0.303	0.034	-0.045	-0.343	1.399	-1.099	-0.362	-0.229
MGRN1	-0.048	0.435	0.796	1.080	0.256	0.815	0.297	1.039	0.520	0.903	0.675	0.109	0.741	1.061	0.336	1.224	1.613	1.388	-0.144	0.853	1.115	0.343	0.983
C6orf156	3.412	-3.075	-2.462	-2.454	-2.060	-2.362	-2.632	-2.341	-2.277	1.802	-2.159	-2.214	2.178	-3.008	-2.711	0.894	-2.918	1.377	-3.058	-2.930	-3.252	-0.950	-2.830
DBN1	-0.547	-1.445	-1.157	-0.281	0.534	-2.187	-1.796	-2.104	-0.657	-1.422	-1.145	-0.353	-2.531	-0.382	-0.865	-0.135	0.104	0.503	-0.632	-0.612	-0.328	-1.113	-0.520
FXC1	2.364	1.438	0.635	0.145	1.476	1.177	1.116	0.513	0.220	0.089	1.243	1.573	0.843	0.713	0.353	-0.112	-0.088	0.054	0.755	0.150	0.531	0.755	0.548
OR3A2	-0.080	-0.401	0.173	-0.579	-0.987	-0.867	-0.258	-1.893	-0.480	-0.150	-0.811	-0.691	-1.561	0.091	-0.423	-0.646	0.335	-0.121	-0.479	-1.445	-1.052	-0.837	0.074
ITGA7	0.741	1.312	1.423	1.790	0.059	0.534	1.046	1.189	1.497	0.433	0.711	1.114	0.884	2.276	1.553	2.081	0.585	1.864	0.515	1.737	1.535	1.769	1.771
PHYHIP	1.663	-0.791	-0.509	-0.787	-1.677	-1.250	-0.555	-2.143	0.820	-0.929	-0.967	-0.989	-0.588	0.019	-0.723	-0.138	-0.667	0.032	-0.940	-0.239	-0.278	-0.146	-0.181
COL9A1	-2.631	0.396	-0.793	-2.919	-0.423	-1.454	0.466	-1.867	0.834	-2.467	-1.965	-0.536	-1.708	-3.265	-0.897	-1.856	-1.798	1.385	-1.454	-2.228	-0.775	-0.769	-0.930
DGKG	3.173	0.586	-0.319	2.129	-2.263	-0.795	0.232	0.674	2.781	1.188	0.622	1.807	0.267	3.904	-1.181	1.329	0.947	1.918	0.014	2.724	1.465	-0.051	-0.259
C10orf53	-0.276	0.895	0.237	0.362	-0.662	0.569	-0.273	0.630	0.165	-0.656	0.257	-0.693	0.475	1.043	-0.127	-0.327	-0.389	0.139	-0.189	-1.119	0.167	0.285	1.109
FGF5	-2.511	-2.864	-1.340	-1.783	-2.239	-2.832	-2.911	-2.452	-2.038	-2.496	-2.503	-1.794	-3.073	-1.334	-1.308	-2.280	-2.890	-1.828	-1.375	-2.498	-2.854	-2.152	-2.406
TUBAL3	1.851	-2.679	-3.142	-2.925	-3.642	-2.826	-2.400	-2.534	-3.882	-3.020	-2.276	-3.111	-3.014	0.394	-3.065	-2.386	-3.328	-1.894	-2.293	-3.438	-1.262	-4.023	-3.700
EGFL11	-0.029	-1.218	-0.256	-0.323	0.528	0.471	0.646	2.856	-1.232	-1.290	1.077	0.070	0.139	-0.491	-1.699	-1.048	-0.725	-0.566	-0.190	-0.811	0.540	-0.710	-0.363
CYP4V2	1.885	2.921	2.953	1.187	0.992	3.524	3.746	3.288	2.025	1.907	3.498	2.013	3.218	2.081	2.902	1.588	1.503	2.128	2.538	2.740	2.904	2.334	3.046
HEY2	-0.064	1.504	1.757	0.848	-1.212	0.509	1.030	0.302	0.695	1.439	1.383	1.316	2.050	1.670	1.354	1.500	0.726	0.864	2.062	1.328	0.514	2.044	1.063
GATAD1	0.444	0.416	-0.004	0.416	0.431	0.562	0.231	0.540	0.543	0.244	0.135	0.063	0.612	0.182	-0.121	0.894	0.057	0.589	-0.020	-0.118	-0.291	-0.354	0.408
PAQR7	0.870	0.313	0.557	-0.209	0.442	1.090	0.697	0.588	0.475	0.651	0.801	0.571	0.613	0.921	0.123	0.283	0.144	0.630	0.172	0.560	0.162	1.405	0.740
HSPB7	-1.683	-1.680	-1.700	-1.708	1.264	-1.371	-1.150	-2.091	-1.446	-1.812	-1.542	-0.164	-0.881	1.038	-1.944	0.260	-2.321	-0.265	-1.652	-0.903	-0.581	-0.496	-1.750
TRIM43	-0.091	-0.637	-0.436	-1.508	-1.936	-1.759	0.559	-2.452	0.102	-0.530	-0.953	-2.380	-0.779	-0.872	-0.154	-1.981	0.024	0.234	-2.667	-1.444	-0.427	-0.611	-0.291
NT5C2	0.536	0.158	-0.554	-0.126	0.472	-0.643	0.062	-0.216	-1.454	-1.079	-0.362	-0.975	-1.064	-1.141	-0.371	-0.285	0.406	-0.588	-0.811	-0.317	-0.674	-1.233	-0.247
LYPD6	-2.359	-2.451	-2.441	-2.229	-2.133	-2.577	-2.516	-3.428	-2.492	-2.789	-2.119	-1.943	-2.928	-1.754	-2.954	-2.464	-2.593	-2.589	-2.828	-2.534	-2.639	-2.613	-2.643
HTN3	-0.983	-0.469	-1.038	-0.957	-1.117	-0.693	-0.146	-1.544	-1.087	-1.466	-0.841	0.000	0.318	0.111	-0.853	-1.329	-1.611	-0.506	-0.645	-0.463	-1.008	-1.051	-0.788
PARP4	1.375	0.621	1.165	1.014	0.673	0.889	0.543	0.683	0.465	0.766	0.359	0.614	0.386	0.021	0.430	0.368	1.003	0.956	-0.178	1.220	1.638	0.283	0.204
TOMM40L	0.474	0.149	0.262	-0.136	-0.122	-0.106	-0.044	0.242	-0.289	0.162	-0.013	-0.130	-0.104	0.747	-0.027	-0.189	0.219	0.885	-0.232	0.648	0.059	-0.021	0.618
MUSTN1	-0.192	1.369	1.460	0.667	0.641	-0.485	0.259	0.057	-0.102	0.217	0.270	1.706	1.232	2.341	0.616	2.319	0.269	1.942	0.006	1.388	1.861	1.241	0.704
IFNA10	-1.304	0.096	0.800	-0.233	0.862	0.592	-1.804	0.066	1.238	0.016	0.663	0.242	-0.559	1.279	0.778	0.770	1.075	0.048	0.592	1.323	0.011	0.051	-0.782
SNUPN	0.450	0.131	0.262	-0.150	-0.073	0.272	0.576	-0.127	-0.513	0.325	-0.254	0.311	-0.115	-0.278	0.602	-0.306	0.344	-0.164	0.294	0.301	0.198	0.114	-0.228
BMF	0.349	0.186	0.553	0.407	-0.004	-0.996	0.271	-0.307	-0.435	0.885	0.535	0.041	-0.675	0.823	0.011	0.855	0.927	0.432	0.265	1.204	1.248	0.076	0.114
