feature	experiment 1	experiment 2	experiment 3	experiment 4	experiment 5	experiment 6	experiment 7	experiment 8	experiment 9	experiment 10	experiment 11	experiment 12	experiment 13	experiment 14	experiment 15	experiment 16	experiment 17	experiment 18	experiment 19	experiment 20	experiment 21	experiment 22	experiment 23	experiment 24	experiment 25	experiment 26	experiment 27	experiment 28	experiment 29	experiment 30	experiment 31	experiment 32	experiment 33	experiment 34	experiment 35	experiment 36	experiment 37	experiment 38	experiment 39	experiment 40	experiment 41	experiment 42	experiment 43	experiment 44	experiment 45	experiment 46	experiment 47	experiment 48	experiment 49
C14orf126	-0.236	-0.679	0.529	-0.063	0.386	-0.152	-0.199	-0.887	-0.670	-0.190	-0.636	-0.441	-0.457	-0.129	-0.144	-0.025	0.558	-0.782	-0.437	-0.837	-1.042	-0.647	-0.234	-0.671	-0.477	-0.427	-0.077	-0.379	-0.128	-0.416	-0.479	-0.402	-0.701	-0.280	0.221	-1.522	0.217	0.198	-0.635	-0.697	-1.015	0.447	-0.686	1.113	0.498	0.835	-1.502	0.927	-0.133
CPA4	-2.441	-2.362	-0.841	-1.981	-2.599	-3.024	-2.323	-2.138	-2.571	-2.605	-2.312	-2.496	-2.443	-2.200	-2.978	-2.916	-2.451	-2.209	-2.236	-2.058	-1.825	-1.366	-3.086	-3.493	-3.162	-2.971	-3.134	-2.736	-2.464	-2.541	-1.700	-1.567	-3.070	-0.940	-2.715	-1.988	-2.200	-1.451	-1.992	-2.380	-2.034	-1.414	-2.543	-2.619	-2.161	-2.175	-2.140	-2.480	-1.884
EPB49	2.078	1.942	1.064	1.325	1.549	1.514	1.758	1.104	2.082	1.263	1.082	1.780	0.964	1.519	2.741	0.298	1.784	2.312	1.509	1.319	1.043	1.849	1.389	1.458	1.235	1.838	2.316	0.961	0.501	0.400	1.615	1.571	1.646	-0.239	1.452	-1.037	2.131	1.544	2.624	1.621	0.891	1.030	1.860	0.950	1.437	1.619	2.075	2.635	0.669
ECHDC3	3.425	3.306	3.235	3.162	1.786	3.554	2.470	2.986	3.075	2.816	2.551	2.633	2.845	2.868	2.345	3.542	3.566	2.674	1.525	3.567	1.859	1.152	2.204	2.105	2.458	3.106	3.310	-0.649	2.009	2.380	2.565	2.146	1.912	1.426	3.226	0.889	4.215	1.322	3.598	3.647	2.598	3.812	3.308	3.400	2.478	3.100	3.124	2.549	2.703
IFT140	0.394	-0.463	-0.294	0.173	0.299	-0.719	-0.379	0.127	-0.245	-0.216	0.055	0.128	0.345	-0.166	-0.539	-0.344	0.123	0.474	-1.121	0.038	-0.324	0.052	-0.162	0.140	-0.131	-0.479	-0.212	0.638	-0.343	0.767	0.381	0.102	-0.203	-0.164	-0.191	0.162	-0.688	-1.119	-0.721	-0.082	-0.335	-0.358	0.082	-0.421	-1.060	-1.340	-0.206	-1.363	0.511
SMARCA1	-0.584	0.201	-0.034	-0.393	0.116	-0.535	-0.180	-1.261	0.397	-0.559	-0.107	-0.559	0.457	-0.113	1.034	0.286	0.091	-0.088	-0.267	-0.013	-2.837	-0.271	0.533	0.277	0.566	0.160	0.412	-0.124	-0.009	0.046	-0.562	-0.258	0.491	-2.062	1.234	-0.865	-0.565	-0.216	0.499	0.160	-0.680	-0.755	-0.110	0.042	-0.732	-0.263	0.966	-0.404	-0.920
TMEM102	1.060	0.129	-0.484	-0.044	1.034	-1.283	0.403	0.071	-0.589	0.353	-0.519	1.020	0.024	-0.160	0.383	0.063	0.592	0.356	1.198	0.564	-0.158	-0.875	-0.738	-0.058	0.685	-0.386	-0.335	1.302	-0.129	-0.887	0.088	0.864	-0.876	-1.036	0.897	1.073	-0.413	-1.450	-1.081	0.954	-0.152	1.872	0.948	-0.277	0.264	0.523	-0.367	-0.667	-0.162
AZU1	0.029	-0.239	-0.146	0.003	-0.098	-0.451	-0.141	0.073	-0.169	-0.166	-0.485	-0.260	-0.312	-0.278	0.080	-0.503	-0.136	-0.358	0.120	-0.337	0.129	0.143	-0.662	-0.727	-0.642	-0.483	-0.552	-0.138	-0.463	-0.273	-0.081	-0.009	-0.603	-0.306	-0.668	-0.099	0.540	0.639	0.271	-0.226	1.546	0.797	-0.484	-0.430	0.274	0.313	-0.628	-0.567	-4.026
C14orf145	-1.645	-1.892	-0.895	-1.727	-2.247	-1.309	-1.925	-1.902	-1.449	-1.248	-0.985	-1.860	-1.422	-1.131	-1.665	-1.554	-0.850	-2.186	-1.673	-1.126	-1.283	-1.592	-1.944	-1.490	-1.674	-1.170	-1.629	-1.938	-1.562	-1.381	-1.563	-1.261	-1.682	-1.814	-1.156	-0.397	-1.762	-1.440	-1.245	-1.695	-2.076	-1.867	-1.626	-2.167	-1.470	-1.833	-1.605	-2.126	-1.321
ZNF791	0.711	0.342	-0.013	0.011	-0.335	0.302	0.217	0.014	0.497	0.287	0.536	0.433	0.686	0.392	0.539	0.056	0.013	0.082	0.352	0.345	0.006	0.286	0.416	0.305	0.605	0.268	0.763	0.306	0.666	0.942	-0.099	0.305	0.650	0.504	0.533	0.230	0.248	0.949	1.022	0.086	-1.472	-0.339	0.279	-0.929	0.391	0.013	0.518	0.252	0.082
COX15	0.180	0.083	0.077	0.292	0.253	-0.960	0.006	0.337	0.403	0.134	0.436	0.326	-0.079	0.170	-0.121	-0.013	-0.560	0.655	-0.638	0.238	-0.813	0.106	0.035	0.286	0.092	0.379	0.311	0.072	-0.159	-0.018	-0.246	0.011	-0.032	0.160	0.144	-1.589	0.462	-0.047	-0.021	0.306	-0.131	0.471	0.319	0.555	-0.087	0.428	0.348	-0.081	-0.408
SLC30A5	0.390	0.160	0.190	0.223	-0.298	0.276	0.348	-0.102	0.019	0.510	-0.668	0.435	0.197	-0.480	0.471	0.374	0.015	-0.354	-0.090	0.087	1.086	0.357	-0.569	-0.389	-0.011	-0.087	0.115	-0.309	0.399	0.663	0.446	0.115	-0.200	0.895	0.185	-1.610	0.274	0.583	0.205	-0.474	-0.933	0.071	0.006	-0.065	0.334	0.357	-0.294	0.323	0.377
PURA	0.848	1.505	0.158	0.475	0.853	1.157	1.279	0.376	1.844	1.075	1.284	1.194	1.519	1.677	1.079	0.941	1.531	1.483	1.182	1.228	-0.121	1.452	1.641	1.695	1.589	2.038	1.903	0.855	1.420	2.003	1.348	0.627	2.218	1.102	1.522	1.797	0.141	1.215	0.946	1.874	-0.176	-0.066	1.147	0.454	0.739	0.816	1.474	1.063	1.139
PDXDC1	-0.944	-0.573	-0.711	-0.818	-0.460	-0.989	-0.693	-0.592	-0.619	-1.052	-0.640	-0.848	-0.289	-0.548	-0.495	-0.968	-0.771	-0.324	-0.633	-0.733	-0.091	-0.131	-1.046	-1.573	-0.935	-0.730	-0.619	-1.195	-0.782	-0.275	-0.224	-0.819	-0.837	-0.985	-0.662	-1.149	-1.606	0.022	-1.032	-0.584	-1.112	-1.340	-0.879	-0.548	-0.797	-0.316	-0.747	-0.259	-1.675
HIST1H2AA	0.065	0.427	-0.073	0.341	0.338	-0.248	0.035	0.733	0.315	0.067	-0.110	0.134	0.268	-0.107	0.017	0.049	0.236	-0.013	-0.066	0.029	0.417	0.189	0.057	0.722	0.041	-0.061	0.007	-0.336	-0.261	-0.127	0.233	-0.123	0.168	0.218	0.201	-0.728	-0.166	0.073	0.068	0.028	0.680	0.305	0.319	-0.258	0.390	0.137	-0.268	0.842	0.407
SOS2	0.781	1.303	0.966	0.349	1.965	1.275	0.626	-0.205	1.149	1.187	1.602	0.912	1.427	1.302	2.043	1.279	1.702	0.134	1.799	1.435	0.380	0.893	1.540	0.937	1.365	1.371	1.283	0.883	1.731	1.450	0.410	0.880	2.140	0.475	1.901	0.914	1.257	2.589	2.357	1.237	2.368	1.342	0.435	1.607	2.091	2.158	1.860	1.949	0.824
LIMD2	-0.526	-0.382	-0.449	-0.092	-0.855	-0.565	-0.338	-0.288	-0.793	-0.699	-0.197	-0.117	-0.394	0.097	-1.360	-0.612	-0.525	-0.676	-0.554	-0.182	-0.533	0.023	-0.287	0.426	-0.491	-0.119	-0.639	-0.898	-0.194	-0.100	-0.340	0.499	-0.647	-0.848	-0.588	1.588	-0.921	-1.244	-1.442	-0.392	-1.214	-0.737	0.161	-0.569	-1.190	-1.180	-0.709	-1.213	0.756
CARD10	0.410	0.266	1.238	0.702	0.116	1.670	0.632	0.082	0.367	0.534	1.454	0.120	0.049	0.079	-2.326	0.176	-0.263	-0.070	-1.816	0.201	0.327	-0.127	0.634	0.221	0.085	-0.048	0.028	0.361	0.028	0.565	0.268	-0.391	0.144	1.652	0.183	0.088	-1.502	-1.968	-1.875	0.235	-1.420	-1.860	-0.260	0.217	-0.918	-1.651	0.181	-1.598	-0.197
GTDC1	0.514	0.570	1.070	0.542	0.404	0.838	0.922	0.868	0.560	0.698	0.709	0.768	0.552	0.539	0.279	0.653	0.554	0.608	0.556	0.507	0.807	0.593	0.845	0.943	0.660	0.630	0.671	0.791	0.789	0.622	0.447	1.014	0.695	0.967	0.771	1.278	0.586	0.549	0.666	0.705	-0.302	0.371	1.031	1.017	0.760	0.585	0.665	0.807	0.678
PIAS4	-0.499	-0.495	-0.254	-0.308	-0.349	-0.818	-0.732	-0.744	-0.874	-0.564	-0.693	-0.164	-0.416	-0.629	-0.737	-0.955	-0.429	-0.175	-0.304	-0.162	-0.327	-0.640	-0.891	-0.588	-0.954	-1.095	-0.772	-0.987	-0.906	-0.315	-0.073	-0.090	-0.848	-0.984	-0.577	-0.411	-0.358	0.103	0.481	-0.113	1.370	0.741	-0.515	-0.998	-0.071	-0.602	-0.805	0.203	-1.255
TAS2R13	-0.052	0.753	0.386	0.487	0.602	0.195	-0.088	0.355	0.631	0.472	0.306	0.491	0.154	0.405	0.433	0.334	-1.389	-0.348	0.140	0.416	0.575	0.165	0.172	-0.512	0.351	1.075	0.623	0.252	0.353	0.538	0.605	0.287	0.143	0.412	0.376	NA	0.416	-0.503	0.158	0.520	-0.591	0.423	-0.011	-0.117	-0.587	0.500	0.196	0.631	NA
NARFL	0.733	-0.073	-0.346	0.507	1.014	-0.532	0.729	1.111	0.011	-0.173	-0.139	0.391	0.252	-0.041	0.581	-0.038	-0.053	1.028	0.076	-0.231	0.383	0.008	-0.149	-0.349	0.155	-0.247	-0.101	0.246	-0.321	0.303	0.887	0.212	-0.055	-0.160	-0.417	1.293	0.644	0.303	0.548	0.210	0.635	2.042	0.422	0.942	1.221	0.162	-0.240	0.734	0.165
SLC43A2	1.477	1.308	2.148	1.693	0.912	1.389	1.327	1.541	1.219	1.397	1.324	1.635	1.414	1.610	3.419	1.458	1.911	1.042	1.893	1.293	1.349	1.320	1.105	1.761	1.661	1.726	0.855	0.972	0.921	1.081	1.161	2.814	1.827	-0.237	1.459	2.159	3.040	2.082	2.306	1.776	0.237	2.345	1.174	1.189	3.349	1.525	1.319	2.417	0.502
PSKH1	-0.566	-0.059	-0.058	0.101	-0.190	-0.079	0.203	0.108	-0.268	-0.240	-0.020	0.174	0.035	-0.243	0.639	-0.086	0.163	-0.142	0.792	-0.327	-0.203	0.021	-0.016	0.007	-0.207	0.103	0.159	-0.312	-0.347	-0.233	0.069	0.194	-0.013	0.076	-0.436	-0.191	0.681	0.509	0.775	-0.186	0.302	1.285	-0.221	0.410	1.325	0.747	-0.283	0.752	-0.217
PCCB	-1.137	-1.648	-0.388	-0.874	0.711	-0.749	-1.811	-1.093	-1.871	-1.963	-1.345	-1.257	-1.733	-1.787	0.983	-2.026	-1.643	-0.379	0.131	-1.434	-0.772	-1.985	-2.177	-2.294	-1.692	-1.818	-0.889	-0.839	-2.230	-2.012	-1.036	-0.683	-2.221	-1.679	-1.853	-2.809	-0.018	0.923	1.153	-1.702	0.282	0.881	-1.674	-0.309	0.965	0.604	-1.399	0.899	-1.298
GSTO1	0.529	0.587	0.079	0.768	0.340	-0.642	0.739	0.985	0.271	0.174	-0.302	0.773	-0.368	0.258	-0.193	0.667	-0.495	0.455	0.145	0.108	0.117	0.190	-0.196	0.318	0.279	0.683	0.420	0.108	0.235	0.025	0.238	1.097	-0.312	0.471	-0.146	0.003	1.037	0.757	0.086	-0.133	1.734	2.332	0.788	1.416	-0.126	1.267	-0.207	0.762	0.852
MCAT	1.212	0.261	0.718	0.667	0.686	0.374	0.828	1.213	0.260	0.316	0.791	0.818	0.597	0.065	0.824	0.469	0.809	0.635	0.224	0.355	0.864	0.345	0.585	0.356	0.712	0.573	-0.193	0.668	0.127	0.678	0.594	0.725	0.561	1.686	0.653	0.053	1.435	0.602	0.979	0.570	1.016	1.609	1.066	0.597	1.160	1.725	0.602	1.005	-0.374
RAB11FIP4	-0.973	-1.084	-1.586	-1.383	-1.132	-1.335	-0.540	-1.604	-1.587	-1.227	-1.101	-0.930	-1.173	-1.104	0.570	-1.448	-1.236	-0.714	-0.085	-0.942	-1.639	-1.676	-1.600	-0.709	-1.331	-1.302	-1.410	-0.536	-1.822	-0.999	-0.975	-1.151	-1.149	-1.510	-1.409	-1.341	-1.204	-0.124	0.309	-1.553	-0.793	-0.559	-1.301	-1.638	0.566	-0.156	-1.356	0.267	-1.618
PSG4	-0.328	-0.665	-0.238	-0.233	-0.025	-0.745	-1.440	-1.413	-0.443	-0.092	-0.901	-0.507	-0.460	-0.414	0.087	-0.501	-0.416	-0.578	2.411	-0.063	0.026	-2.537	-1.801	-1.104	-0.896	-0.815	-1.596	-1.136	-1.488	-0.419	0.079	-0.478	-0.907	-0.698	-0.753	-0.343	0.498	4.464	-0.194	-0.040	1.004	0.467	-0.968	-0.293	0.657	5.377	-0.004	4.823	-0.809
SLC35F3	0.278	-0.753	0.075	1.173	-1.737	2.339	1.478	0.852	-2.264	0.347	1.808	-1.601	-0.091	0.410	3.391	-0.096	-0.577	-2.005	3.955	1.403	3.071	2.179	-1.952	2.271	-2.579	-3.311	-2.649	0.195	0.033	0.647	0.059	-0.874	-2.746	1.073	1.320	2.368	2.587	-1.478	0.314	-2.688	0.670	-3.096	-2.436	-3.385	0.517	2.798	-1.674	3.989	-0.849
PZP	0.726	1.790	1.243	0.741	0.427	1.347	1.033	-0.355	0.779	1.099	1.810	0.908	1.414	1.555	-0.065	1.354	1.252	0.286	0.597	1.163	0.779	1.016	1.735	1.191	1.601	1.710	2.123	0.029	1.844	1.986	0.882	0.756	2.128	0.926	1.589	0.896	-0.501	-0.591	-0.227	1.281	-0.395	-0.301	0.483	-0.198	-0.903	-0.312	1.515	-0.093	-1.128
SAP30	0.830	0.368	0.253	0.160	-1.096	0.297	0.092	-0.160	0.166	0.409	0.844	0.251	0.108	0.090	-1.160	0.418	0.389	0.416	-1.083	0.535	1.071	0.923	0.440	0.981	-0.049	0.176	0.264	-1.077	0.048	0.334	0.341	0.385	-0.327	0.652	0.259	0.089	-1.526	-0.670	-2.296	0.203	-1.243	-1.304	0.209	-1.098	-1.469	-1.348	0.390	-2.120	0.282
PSMB5	-0.820	-0.221	0.259	-0.423	0.192	-0.736	-0.542	-0.496	-0.584	-0.247	-0.469	-0.537	-0.283	-0.545	-0.375	-0.379	-0.424	-0.897	0.162	-0.257	-0.090	-0.183	-0.275	-1.015	-0.184	-0.651	-0.131	-0.576	-0.132	-0.369	-0.629	-0.536	-0.597	-0.700	-0.140	-0.358	-0.679	0.335	-0.239	0.105	-0.014	-0.010	-0.760	0.227	0.339	0.002	-0.331	-0.256	-0.141
WDR32	-0.503	-0.051	-0.020	-0.774	0.475	-0.102	-0.414	-0.704	0.267	-0.218	-0.023	-0.210	-0.758	-0.296	0.618	-0.430	-0.270	-0.081	0.298	-0.113	-0.622	-0.508	-0.351	-0.425	-0.240	0.123	-0.267	0.215	0.065	-0.449	-0.663	0.055	-0.038	-0.475	-0.183	-1.612	0.122	0.567	0.484	-0.241	0.010	-0.333	-0.234	0.131	0.733	0.090	0.088	0.377	-0.105
TXNL4A	0.022	-0.104	-0.443	0.140	-0.494	-0.121	0.338	-0.998	-0.119	-0.179	-0.528	-0.225	0.019	-0.393	0.309	-0.186	-0.209	0.071	0.311	-0.219	0.140	-0.786	-0.556	-0.335	-0.086	-0.350	-0.081	-0.575	-0.476	-0.837	0.475	0.352	-0.627	0.058	-0.662	-1.271	-0.282	-0.313	-0.130	-0.268	0.125	-0.265	-0.542	0.803	0.371	1.421	-0.680	0.535	-0.356
SP2	-0.282	0.009	-0.329	-0.294	-0.076	-0.164	-0.036	-0.783	0.080	-0.473	0.002	-0.218	0.220	-0.074	0.680	-0.123	0.065	-0.165	-0.161	-0.299	-0.748	-0.019	-0.052	-0.383	0.142	0.316	0.226	-0.206	0.026	0.166	-0.185	0.101	0.095	-0.701	-0.041	-1.758	-0.683	-0.407	0.159	-0.601	-0.446	-0.339	-0.325	-0.644	-0.871	-0.516	-0.184	-0.486	-0.375
CALCB	0.077	-0.011	1.668	0.174	3.046	-1.352	0.616	0.703	-0.101	-0.053	0.038	-0.209	-0.722	-0.021	0.032	0.022	-0.257	-0.587	0.310	-0.139	0.200	-1.818	-0.522	-1.365	-0.283	-0.390	-0.802	0.124	0.164	-0.257	-0.643	-0.217	-0.350	-0.042	-0.332	-1.316	3.126	0.831	0.481	-0.280	1.579	0.612	-0.028	1.599	-0.474	5.384	0.138	-0.340	-0.193
BEST3	-0.822	-0.491	-0.993	-0.481	-1.124	-0.143	-1.236	-0.963	-0.678	-1.047	-0.178	-0.761	-0.270	-0.093	-1.389	-0.877	-0.319	-1.161	-0.670	-0.696	-1.319	-1.016	-0.870	-0.923	-0.245	-0.563	-0.746	-0.425	-0.723	-0.885	-0.521	-0.669	-0.336	-0.876	-0.679	-0.077	-2.492	-1.991	-1.928	-1.182	-0.150	-1.849	-0.698	-0.896	-1.730	-2.337	-0.757	-1.110	-0.764
ENPP3	5.948	5.290	4.854	5.456	1.216	5.599	5.124	3.983	5.053	5.606	5.408	5.215	4.747	6.167	-2.314	5.418	5.787	5.554	-2.545	5.474	5.609	4.858	5.257	5.721	5.854	5.337	5.577	2.296	5.561	5.423	4.348	6.114	5.138	5.451	5.972	5.177	-2.295	-2.398	-2.467	4.813	-1.411	-1.325	5.737	3.255	-2.367	-2.801	6.519	-2.325	5.122
ZC3H15	-0.062	0.188	-0.100	-0.387	-0.043	-0.202	0.015	-0.191	-0.279	-0.317	-0.427	-0.292	-0.592	-0.382	-0.469	-0.247	-0.243	-0.097	-0.686	-0.415	0.028	-0.451	-0.850	-0.616	-0.371	-0.107	0.110	-0.350	0.108	-0.059	-0.407	-0.347	-0.246	0.141	-0.498	-0.530	-0.026	-0.490	-0.317	-0.187	-1.345	-0.545	-0.214	0.115	-0.652	-0.643	-0.343	-0.394	-0.086
TTLL1	0.845	-0.149	0.264	-0.375	0.668	-0.304	0.235	0.429	-0.526	-0.020	-0.340	0.004	-0.690	-0.128	0.434	-0.249	-0.365	0.138	0.526	-0.083	0.426	-0.568	0.233	-0.146	0.115	-0.117	0.227	0.571	-0.339	-0.207	0.215	0.129	0.096	0.308	-0.537	1.073	1.275	0.234	1.008	0.242	0.012	0.742	0.018	0.548	0.445	1.535	-0.158	-0.196	-0.317
TSHZ1	0.542	1.187	-0.139	0.720	0.713	0.955	0.297	-0.525	1.925	1.346	1.208	1.352	1.385	1.907	-0.148	1.029	1.889	1.018	-0.215	1.126	1.787	0.874	2.225	2.112	1.883	1.545	1.752	0.277	1.328	1.041	0.994	1.204	1.613	0.080	1.591	1.074	-1.641	-1.354	-1.120	2.208	-0.945	-0.889	1.627	1.822	-0.292	-0.010	1.250	-0.403	0.374
GDI1	0.095	0.029	-0.253	-0.070	-0.428	-0.024	-0.234	-0.273	0.607	0.054	0.033	-0.178	0.235	0.022	-0.392	-0.143	-0.015	0.372	0.298	-0.010	-0.124	-0.240	0.094	-0.188	-0.034	0.023	0.247	-0.506	0.113	0.299	0.097	-0.084	0.244	-0.051	0.167	0.681	-0.390	-0.025	0.427	0.087	-0.210	-0.715	0.141	-0.364	-0.261	-0.268	0.123	-0.346	-0.447
KCNH6	0.294	0.448	-0.696	-0.368	-0.031	-0.321	-0.313	1.281	0.878	0.546	-0.404	0.543	1.607	0.517	-0.785	-0.436	0.469	0.408	-0.048	-0.259	-0.385	0.599	-0.168	-0.153	1.716	0.737	0.637	1.159	0.277	-0.042	0.534	-0.628	1.074	0.544	-0.144	1.466	-2.017	-1.449	-1.260	0.638	-1.032	-1.479	0.372	0.072	-1.289	-1.655	-0.493	-1.338	-0.213
OR52B2	0.376	0.383	0.303	0.523	0.343	0.052	0.491	0.601	0.121	0.315	0.370	0.538	0.295	0.281	0.509	0.200	0.444	0.952	0.285	0.684	0.842	0.393	0.369	0.375	0.283	0.594	0.370	0.246	0.572	0.333	0.448	0.549	0.261	0.571	0.182	0.532	0.882	0.116	0.381	0.340	0.877	0.640	0.221	-0.239	0.305	0.556	0.460	0.706	0.814
LOC595101	-0.135	-0.353	-0.205	-0.106	0.973	-0.516	-0.142	0.618	0.229	-0.257	0.142	0.495	0.337	-0.049	1.073	-0.067	-0.550	0.018	0.240	-0.053	0.349	0.000	-0.355	0.079	0.025	-0.440	-0.526	0.110	-0.247	-0.258	-0.044	-0.438	0.213	-0.005	-0.063	-1.060	1.925	0.724	-0.854	-0.611	0.206	0.975	0.343	0.278	0.875	1.796	-0.086	1.290	0.348
RAE1	-1.512	-1.875	-0.834	-1.159	-1.081	-1.285	-1.251	-0.402	-1.972	-1.863	-1.428	-1.331	-1.600	-1.649	-0.907	-1.820	-1.550	-2.097	-1.216	-1.712	-0.681	-0.940	-1.452	-1.439	-1.486	-1.753	-1.622	-0.959	-1.510	-1.558	-1.743	-1.227	-1.549	-0.927	-1.452	-1.892	-0.675	-1.143	-1.194	-1.808	-0.873	-1.076	-1.350	-0.927	-0.372	-1.103	-1.600	-0.734	-1.408
PDS5B	-0.471	0.461	0.107	-0.382	-0.021	0.131	0.318	-0.706	0.571	0.484	-0.330	-0.124	0.179	0.101	0.619	0.192	0.295	-0.312	-0.060	0.107	-0.287	0.191	0.845	0.512	-0.048	0.257	0.639	-0.106	0.764	0.282	0.031	-0.311	0.717	-0.105	0.080	0.587	0.719	0.502	0.137	0.535	0.547	0.759	0.108	0.428	1.880	0.005	0.256	1.308	-0.115
C1orf106	0.967	0.986	-0.068	1.289	-1.164	0.862	1.328	1.156	0.739	0.872	0.669	0.747	0.498	0.790	-2.646	0.746	0.423	0.353	-2.039	1.158	0.191	0.962	0.173	0.542	0.268	0.511	0.840	1.318	0.403	0.406	0.691	-2.183	0.188	1.235	0.707	-0.237	-2.269	-1.428	-0.541	1.048	-2.355	-0.794	0.462	-1.409	-1.922	-1.695	1.467	-2.613	0.155
DRD5	-0.977	-1.992	-2.022	-1.327	-1.812	-1.706	-1.512	-1.898	-1.442	-1.853	-1.234	-1.800	-2.316	-1.125	-2.452	-1.123	-0.866	-1.607	-1.466	-1.058	-1.619	-2.421	-2.345	-2.237	-1.758	-1.973	-2.459	-1.973	-2.150	-1.863	-1.579	-1.566	-2.034	-1.535	-1.203	-2.849	-1.508	-1.998	-1.609	-1.667	-0.152	-1.992	-1.433	-1.700	-1.744	-2.144	-1.221	0.762	-0.244
C6orf113	-1.209	-0.458	-0.177	-0.544	-1.011	-0.556	-0.673	-1.047	-0.912	-0.735	-0.706	-0.626	-1.022	-0.433	0.062	-0.632	-0.751	-1.416	-0.393	-0.555	-0.775	-0.670	-0.388	-0.298	-0.583	-0.137	-0.491	-0.658	-0.199	-0.787	-1.245	-0.306	-0.449	-0.656	-0.422	-0.360	-0.194	-0.400	0.223	-0.138	-0.786	-1.071	0.038	-0.362	-0.184	-0.591	-0.170	-0.733	-0.650
LMO4	-0.556	-0.902	-0.531	-0.748	-0.514	0.011	0.263	0.275	0.131	-0.401	-0.539	0.357	-0.505	0.020	-0.282	-1.473	0.493	-0.508	1.225	-1.425	-0.558	0.592	0.557	0.135	-1.003	0.365	0.566	0.162	0.985	0.049	0.073	0.117	0.229	-1.196	-0.559	-0.114	0.127	-0.276	1.058	-0.225	0.189	-0.589	-0.322	0.976	0.326	0.038	0.321	0.494	0.115
KIAA0586	-1.462	-0.922	-0.973	-1.487	-1.294	-0.678	-1.424	-1.732	-0.946	-0.538	-0.417	-0.953	-0.941	-0.477	-0.460	-0.567	-0.252	-1.597	-0.899	-0.645	-0.947	-1.260	-0.892	-1.031	-0.171	-0.563	-0.773	-0.781	-0.364	-0.510	-1.204	-0.998	-0.731	-0.815	-0.495	-0.363	-1.605	-0.456	-0.486	-1.050	-1.844	-2.315	-0.869	-1.234	-1.270	-1.071	-0.864	-1.356	-1.985
RNMT	-0.383	-0.871	0.399	-0.736	-0.338	-0.269	-0.538	-1.352	-0.271	-0.688	-0.516	-0.327	-0.400	-0.503	-0.307	-0.753	-0.578	0.004	0.661	-0.456	-0.989	-1.252	-0.945	-0.756	-0.531	-0.353	-0.532	-1.033	-0.424	-0.833	-0.644	-0.800	-0.353	-0.194	-0.402	-1.322	-1.237	-0.462	-0.204	-0.836	-0.843	-1.880	-0.393	-0.700	-0.435	0.370	-0.437	-0.299	-0.943
IMPAD1	-0.364	-0.472	1.694	-0.193	-0.056	0.322	-0.161	1.238	-0.770	-0.416	-0.542	-0.431	-0.467	-0.570	0.105	-0.552	-0.415	-0.277	0.083	-0.328	0.792	-0.414	-0.082	-0.666	-0.434	-0.551	-0.199	-0.909	-0.061	-0.418	0.181	0.761	-0.381	-0.040	-0.469	-1.458	-0.466	-0.072	0.151	-0.209	0.047	-0.422	-0.130	0.684	1.647	0.031	-0.056	0.672	-0.771
CHD1L	-1.521	-1.068	-1.003	-1.174	-1.398	-0.598	-1.676	-1.613	-1.327	-1.175	-1.119	-1.435	-1.412	-1.231	-2.792	-1.709	-1.403	-1.091	-1.545	-1.032	-0.215	-1.140	-1.287	-2.122	-1.033	-1.337	-1.140	-1.395	-1.113	-1.003	-1.088	-0.998	-1.356	-1.185	-1.622	-1.431	-2.280	-2.630	-1.686	-1.129	-2.025	-2.112	-1.392	-2.013	-2.897	-2.645	-0.882	-2.620	-1.551
CCDC93	-0.171	-0.208	-0.516	-0.514	0.371	-0.109	0.181	-0.898	0.054	0.049	-0.179	-0.250	-0.381	0.095	-0.482	-0.293	-0.131	0.017	-0.176	-0.050	-0.184	-0.394	-0.240	0.038	-0.028	-0.107	0.093	-0.545	-0.355	0.392	-0.302	-0.319	0.061	-0.090	-0.349	-0.476	-0.808	-0.321	0.579	0.053	-1.354	-2.037	-0.336	-0.686	-0.476	-0.574	-0.017	-0.063	-1.674
C9orf114	-1.813	-1.460	-1.402	-1.400	-1.386	-1.744	-1.663	-1.321	-1.973	-1.488	-1.623	-1.109	-1.726	-1.438	-1.528	-1.751	-1.851	-1.451	-1.306	-1.133	-1.403	-2.168	-1.676	-1.810	-1.785	-1.774	-1.665	-1.802	-1.911	-1.629	-1.360	-1.073	-1.509	-1.800	-1.522	-1.817	-1.017	-1.111	-1.578	-1.443	-0.878	-1.328	-1.576	-2.024	-1.020	-1.722	-1.909	-1.180	-1.484
LDLRAD3	0.154	-0.431	-0.185	-0.249	1.452	0.404	-0.370	-0.593	-0.414	-0.635	0.031	-0.299	-0.728	-0.466	-1.904	-0.594	-0.344	0.212	-1.165	-0.462	-0.348	-0.035	0.304	-0.638	-0.522	-0.554	-0.552	-0.677	0.112	-0.117	-0.267	-0.219	0.042	-0.411	-0.766	-0.354	-1.027	-0.707	-0.900	-0.303	0.543	-1.142	-0.809	1.142	-0.712	-1.120	-0.445	-1.634	-1.448
